"protocol","port","description"
"TCP",0,"Reserved"
"TCP",1,"Port Service Multiplexer"
"TCP",2,"Management Utility"
"TCP",3,"Compression Process"
"TCP",4,"Unassigned"
"TCP",5,"Remote Job Entry"
"TCP",6,"Unassigned"
"TCP",7,"Echo"
"TCP",8,"Unassigned"
"TCP",9,"Discard"
"TCP",10,"Unassigned"
"TCP",11,"Active Users"
"TCP",12,"Unassigned"
"TCP",13,"Daytime (RFC 867)"
"TCP",14,"Unassigned"
"TCP",15,"Unassigned [was netstat]"
"TCP",16,"Unassigned"
"TCP",17,"Quote of the Day"
"TCP",18,"Message Send Protocol"
"TCP",19,"Character Generator"
"TCP",20,"File Transfer [Default Data]"
"TCP",21,"File Transfer [Control]"
"TCP",22,"SSH Remote Login Protocol"
"TCP",23,"Telnet"
"TCP",24,"any private mail system"
"TCP",25,"Simple Mail Transfer"
"TCP",26,"Unassigned"
"TCP",27,"NSW User System FE"
"TCP",28,"Unassigned"
"TCP",29,"MSG ICP"
"TCP",30,"Unassigned"
"TCP",31,"MSG Authentication"
"TCP",32,"Unassigned"
"TCP",33,"Display Support Protocol"
"TCP",34,"Unassigned"
"TCP",35,"any private printer server"
"TCP",36,"Unassigned"
"TCP",37,"Time / W32.Sober.I virus"
"TCP",38,"Route Access Protocol"
"TCP",39,"Resource Location Protocol"
"TCP",40,"Unassigned"
"TCP",41,"Graphics"
"TCP",42,"Host Name Server"
"TCP",43,"WhoIs"
"TCP",44,"MPM FLAGS Protocol"
"TCP",45,"Message Processing Module [recv]"
"TCP",46,"MPM [default send]"
"TCP",47,"NI FTP"
"TCP",48,"Digital Audit Daemon"
"TCP",49,"Login Host Protocol (TACACS)"
"TCP",50,"Remote Mail Checking Protocol"
"TCP",51,"IMP Logical Address Maintenance"
"TCP",52,"XNS Time Protocol"
"TCP",53,"Domain Name Server"
"TCP",54,"XNS Clearinghouse"
"TCP",55,"ISI Graphics Language"
"TCP",56,"XNS Authentication"
"TCP",57,"any private terminal access"
"TCP",58,"XNS Mail"
"TCP",59,"any private file service"
"TCP",60,"Unassigned"
"TCP",61,"NI MAIL"
"TCP",62,"ACA Services"
"TCP",63,"whois++"
"TCP",64,"Communications Integrator (CI)"
"TCP",65,"TACACS-Database Service"
"TCP",66,"Oracle SQL*NET"
"TCP",67,"Bootstrap Protocol Server"
"TCP",68,"Bootstrap Protocol Client"
"TCP",69,"Trivial File Transfer"
"TCP",70,"Gopher"
"TCP",71,"Remote Job Service"
"TCP",72,"Remote Job Service"
"TCP",73,"Remote Job Service"
"TCP",74,"Remote Job Service"
"TCP",75,"any private dial out service"
"TCP",76,"Distributed External Object Store"
"TCP",77,"any private RJE service"
"TCP",78,"vettcp"
"TCP",79,"Finger"
"TCP",80,"World Wide Web HTTP"
"TCP",81,"HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm"
"TCP",82,"XFER Utility"
"TCP",83,"MIT ML Device"
"TCP",84,"Common Trace Facility"
"TCP",85,"MIT ML Device"
"TCP",86,"Micro Focus Cobol"
"TCP",87,"any private terminal link"
"TCP",88,"Kerberos"
"TCP",89,"SU/MIT Telnet Gateway"
"TCP",90,"DNSIX Securit Attribute Token Map"
"TCP",91,"MIT Dover Spooler"
"TCP",92,"Network Printing Protocol"
"TCP",93,"Device Control Protocol"
"TCP",94,"Tivoli Object Dispatcher"
"TCP",95,"SUPDUP"
"TCP",96,"DIXIE Protocol Specification"
"TCP",97,"Swift Remote Virtural File Protocol"
"TCP",98,"Linuxconf / TAC News"
"TCP",99,"Metagram Relay"
"TCP",100,"[unauthorized use]"
"TCP",101,"NIC Host Name Server"
"TCP",102,"MSExchangeMTA X.400 / ISO-TSAP Class 0"
"TCP",103,"Genesis Point-to-Point Trans Net"
"TCP",104,"ACR-NEMA Digital Imag. & Comm. 300"
"TCP",105,"Mailbox Name Nameserver"
"TCP",106,"3COM-TSMUX"
"TCP",107,"Remote Telnet Service"
"TCP",108,"SNA Gateway Access Server"
"TCP",109,"Post Office Protocol - Version 2"
"TCP",110,"Post Office Protocol - Version 3"
"TCP",111,"SUN Remote Procedure Call"
"TCP",112,"McIDAS Data Transmission Protocol"
"TCP",113,"Authentication Service"
"TCP",114,"Audio News Multicast"
"TCP",115,"Simple File Transfer Protocol"
"TCP",116,"ANSA REX Notify"
"TCP",117,"UUCP Path Service"
"TCP",118,"SQL Services"
"TCP",119,"Network News Transfer Protocol"
"TCP",120,"CFDPTKT"
"TCP",121,"Encore Expedited Remote Pro.Call"
"TCP",122,"SMAKYNET"
"TCP",123,"Network Time Protocol"
"TCP",124,"ANSA REX Trader"
"TCP",125,"Locus PC-Interface Net Map Ser"
"TCP",126,"Unisys Unitary Login"
"TCP",127,"Locus PC-Interface Conn Server"
"TCP",128,"GSS X License Verification"
"TCP",129,"Password Generator Protocol"
"TCP",130,"cisco FNATIVE"
"TCP",131,"cisco TNATIVE"
"TCP",132,"cisco SYSMAINT"
"TCP",133,"Statistics Service"
"TCP",134,"INGRES-NET Service"
"TCP",135,"DCE endpoint resolution"
"TCP",136,"PROFILE Naming System"
"TCP",137,"NETBIOS Name Service"
"TCP",138,"NETBIOS Datagram Service"
"TCP",139,"NETBIOS Session Service"
"TCP",140,"EMFIS Data Service"
"TCP",141,"EMFIS Control Service"
"TCP",142,"Britton-Lee IDM"
"TCP",143,"Internet Message Access Protocol"
"TCP",144,"Universal Management Architecture"
"TCP",145,"UAAC Protocol"
"TCP",146,"ISO-IP0"
"TCP",147,"ISO-IP"
"TCP",148,"Jargon"
"TCP",149,"AED 512 Emulation Service"
"TCP",150,"SQL-NET"
"TCP",151,"HEMS"
"TCP",152,"Background File Transfer Program"
"TCP",153,"SGMP"
"TCP",154,"NETSC"
"TCP",155,"NETSC"
"TCP",156,"SQL Service"
"TCP",157,"KNET/VM Command/Message Protocol"
"TCP",158,"PCMail Server"
"TCP",159,"NSS-Routing"
"TCP",160,"SGMP-TRAPS"
"TCP",161,"SNMP"
"TCP",162,"SNMPTRAP"
"TCP",163,"CMIP/TCP Manager"
"TCP",164,"CMIP/TCP Agent"
"TCP",165,"Xerox"
"TCP",166,"Sirius Systems"
"TCP",167,"NAMP"
"TCP",168,"RSVD"
"TCP",169,"SEND"
"TCP",170,"Network PostScript"
"TCP",171,"Network Innovations Multiplex"
"TCP",172,"Network Innovations CL/1"
"TCP",173,"Xyplex"
"TCP",174,"MAILQ"
"TCP",175,"VMNET"
"TCP",176,"GENRAD-MUX"
"TCP",177,"X Display Manager Control Protocol"
"TCP",178,"NextStep Window Server"
"TCP",179,"Border Gateway Protocol"
"TCP",180,"Intergraph"
"TCP",181,"Unify"
"TCP",182,"Unisys Audit SITP"
"TCP",183,"OCBinder"
"TCP",184,"OCServer"
"TCP",185,"Remote-KIS"
"TCP",186,"KIS Protocol"
"TCP",187,"Application Communication Interface"
"TCP",188,"Plus Five's MUMPS"
"TCP",189,"Queued File Transport"
"TCP",190,"Gateway Access Control Protocol"
"TCP",191,"Prospero Directory Service"
"TCP",192,"OSU Network Monitoring System"
"TCP",193,"Spider Remote Monitoring Protocol"
"TCP",194,"Internet Relay Chat Protocol"
"TCP",195,"DNSIX Network Level Module Audit"
"TCP",196,"DNSIX Session Mgt Module Audit Redir"
"TCP",197,"Directory Location Service"
"TCP",198,"Directory Location Service Monitor"
"TCP",199,"SMUX"
"TCP",200,"IBM System Resource Controller"
"TCP",201,"AppleTalk Routing Maintenance"
"TCP",202,"AppleTalk Name Binding"
"TCP",203,"AppleTalk Unused"
"TCP",204,"AppleTalk Echo"
"TCP",205,"AppleTalk Unused"
"TCP",206,"AppleTalk Zone Information"
"TCP",207,"AppleTalk Unused"
"TCP",208,"AppleTalk Unused"
"TCP",209,"The Quick Mail Transfer Protocol"
"TCP",210,"ANSI Z39.50"
"TCP",211,"Texas Instruments 914C/G Terminal"
"TCP",212,"ATEXSSTR"
"TCP",213,"IPX"
"TCP",214,"VM PWSCS"
"TCP",215,"Insignia Solutions"
"TCP",216,"Computer Associates Int'l License Server"
"TCP",217,"dBASE Unix"
"TCP",218,"Netix Message Posting Protocol"
"TCP",219,"Unisys ARPs"
"TCP",220,"Interactive Mail Access Protocol v3"
"TCP",221,"Berkeley rlogind with SPX auth"
"TCP",222,"Berkeley rshd with SPX auth"
"TCP",223,"Certificate Distribution Center"
"TCP",224,"masqdialer"
"TCP",242,"Direct"
"TCP",243,"Survey Measurement"
"TCP",244,"inbusiness"
"TCP",245,"LINK"
"TCP",246,"Display Systems Protocol"
"TCP",247,"SUBNTBCST_TFTP"
"TCP",248,"bhfhs"
"TCP",256,"RAP/Checkpoint SNMP"
"TCP",257,"Check Point / Secure Electronic Transaction"
"TCP",258,"Check Point / Yak Winsock Personal Chat"
"TCP",259,"Check Point Firewall-1 telnet auth / Efficient Short Remote Operations"
"TCP",260,"Openport"
"TCP",261,"IIOP Name Service over TLS/SSL"
"TCP",262,"Arcisdms"
"TCP",263,"HDAP"
"TCP",264,"BGMP / Check Point"
"TCP",265,"X-Bone CTL"
"TCP",266,"SCSI on ST"
"TCP",267,"Tobit David Service Layer"
"TCP",268,"Tobit David Replica"
"TCP",280,"HTTP-mgmt"
"TCP",281,"Personal Link"
"TCP",282,"Cable Port A/X"
"TCP",283,"rescap"
"TCP",284,"corerjd"
"TCP",286,"FXP-1"
