"protocol","port","description"
"UDP",0,"Reserved"
"UDP",1,"Port Service Multiplexer"
"UDP",2,"Management Utility"
"UDP",3,"Compression Process"
"UDP",4,"Unassigned"
"UDP",5,"Remote Job Entry"
"UDP",6,"Unassigned"
"UDP",7,"Echo"
"UDP",8,"Unassigned"
"UDP",9,"Discard"
"UDP",10,"Unassigned"
"UDP",11,"Active Users"
"UDP",12,"Unassigned"
"UDP",13,"Daytime"
"UDP",14,"Unassigned"
"UDP",15,"Unassigned"
"UDP",16,"Unassigned"
"UDP",17,"Quote of the Day"
"UDP",18,"Message Send Protocol"
"UDP",19,"Character Generator"
"UDP",20,"File Transfer [Default Data]"
"UDP",21,"File Transfer [Control]"
"UDP",22,"SSH Remote Login Protocol"
"UDP",23,"Telnet"
"UDP",24,"any private mail system"
"UDP",25,"Simple Mail Transfer"
"UDP",26,"Unassigned"
"UDP",27,"NSW User System FE"
"UDP",28,"Unassigned"
"UDP",29,"MSG ICP"
"UDP",30,"Unassigned"
"UDP",31,"MSG Authentication"
"UDP",32,"Unassigned"
"UDP",33,"Display Support Protocol"
"UDP",34,"Unassigned"
"UDP",35,"any private printer server"
"UDP",36,"Unassigned"
"UDP",37,"Time"
"UDP",38,"Route Access Protocol"
"UDP",39,"Resource Location Protocol"
"UDP",40,"Unassigned"
"UDP",41,"Graphics"
"UDP",42,"Host Name Server"
"UDP",43,"Who Is"
"UDP",44,"MPM FLAGS Protocol"
"UDP",45,"Message Processing Module [recv]"
"UDP",46,"MPM [default send]"
"UDP",47,"NI FTP"
"UDP",48,"Digital Audit Daemon"
"UDP",49,"Login Host Protocol (TACACS)"
"UDP",50,"Remote Mail Checking Protocol"
"UDP",51,"IMP Logical Address Maintenance"
"UDP",52,"XNS Time Protocol"
"UDP",53,"Domain Name Server"
"UDP",54,"XNS Clearinghouse"
"UDP",55,"ISI Graphics Language"
"UDP",56,"XNS Authentication"
"UDP",57,"any private terminal access"
"UDP",58,"XNS Mail"
"UDP",59,"any private file service"
"UDP",60,"Unassigned"
"UDP",61,"NI MAIL"
"UDP",62,"ACA Services"
"UDP",63,"whois++"
"UDP",64,"Communications Integrator (CI)"
"UDP",65,"TACACS-Database Service"
"UDP",66,"Oracle SQL*NET"
"UDP",67,"Bootstrap Protocol Server"
"UDP",68,"Bootstrap Protocol Client"
"UDP",69,"Trivial File Transfer"
"UDP",70,"Gopher"
"UDP",71,"Remote Job Service"
"UDP",72,"Remote Job Service"
"UDP",73,"Remote Job Service"
"UDP",74,"Remote Job Service"
"UDP",75,"any private dial out service"
"UDP",76,"Distributed External Object Store"
"UDP",77,"any private RJE service"
"UDP",78,"vettcp"
"UDP",79,"Finger"
"UDP",80,"World Wide Web HTTP"
"UDP",81,"HOSTS2 Name Server"
"UDP",82,"XFER Utility"
"UDP",83,"MIT ML Device"
"UDP",84,"Common Trace Facility"
"UDP",85,"MIT ML Device"
"UDP",86,"Micro Focus Cobol"
"UDP",87,"any private terminal link"
"UDP",88,"Kerberos"
"UDP",89,"SU/MIT Telnet Gateway"
"UDP",90,"DNSIX Securit Attribute Token Map"
"UDP",91,"MIT Dover Spooler"
"UDP",92,"Network Printing Protocol"
"UDP",93,"Device Control Protocol"
"UDP",94,"Tivoli Object Dispatcher"
"UDP",95,"SUPDUP"
"UDP",96,"DIXIE Protocol Specification"
"UDP",97,"Swift Remote Virtural File Protocol"
"UDP",98,"TAC News"
"UDP",99,"Metagram Relay"
"UDP",101,"NIC Host Name Server"
"UDP",102,"ISO-TSAP Class 0"
"UDP",103,"Genesis Point-to-Point Trans Net"
"UDP",104,"ACR-NEMA Digital Imag. & Comm. 300"
"UDP",105,"Mailbox Name Nameserver"
"UDP",106,"3COM-TSMUX"
"UDP",107,"Remote Telnet Service"
"UDP",108,"SNA Gateway Access Server"
"UDP",109,"Post Office Protocol - Version 2"
"UDP",110,"Post Office Protocol - Version 3"
"UDP",111,"SUN Remote Procedure Call"
"UDP",112,"McIDAS Data Transmission Protocol"
"UDP",113,"Authentication Service"
"UDP",114,"Audio News Multicast"
"UDP",115,"Simple File Transfer Protocol"
"UDP",116,"ANSA REX Notify"
"UDP",117,"UUCP Path Service"
"UDP",118,"SQL Services"
"UDP",119,"Network News Transfer Protocol"
"UDP",120,"CFDPTKT"
"UDP",121,"Encore Expedited Remote Pro.Call"
"UDP",122,"SMAKYNET"
"UDP",123,"Network Time Protocol"
"UDP",124,"ANSA REX Trader"
"UDP",125,"Locus PC-Interface Net Map Ser"
"UDP",126,"Unisys Unitary Login"
"UDP",127,"Locus PC-Interface Conn Server"
"UDP",128,"GSS X License Verification"
"UDP",129,"Password Generator Protocol"
"UDP",130,"cisco FNATIVE"
